the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000A463165389F154C04CE6FA6C14BE4140,188923,0101000020110F000098564CF88DC961C1887B17D8D8225041,188679,>1m <=5m,ATBI DATABASE,,1446925517000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248338,3930367,35.484992,-83.774002,Eagle Creek,Eagle Creek,1718.006592,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446925517000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Hypentelium_nigricans,Hypentelium  nigricans,20292,Northern Hog Sucker,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1087257600000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Catostomidae, ,~,various,No,day,cert,Northshore Road EIS
0101000020E61000009A126C0347F154C0925EFAB57ABE4140,188925,0101000020110F00001C3EDCA655C961C1FDDF318843235041,188681,>1m <=5m,ATBI DATABASE,,1446925518000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248715,3930703,35.488113,-83.769955,Eagle Creek,Eagle Creek,1987.865967,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446925518000,GRSM,UNR,,7,,,Eagle Creek Trail,Lakeview Drive West,Valid,Hypentelium_nigricans,Hypentelium  nigricans,20292,Northern Hog Sucker,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1063411200000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Catostomidae, ,~,day snorkel visual survey,No, ,cert,CFI Fish Surveys
0101000020E6100000B95889C08BF154C015ABB519EFBD4140,188922,0101000020110F00009D56180890C961C14C02CAE9B1225041,188678,>1m <=5m,ATBI DATABASE,,1446925516000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248321,3930241,35.483852,-83.774151,Eagle Creek,Eagle Creek,1710.458008,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446925516000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive West,Valid,Hypentelium_nigricans,Hypentelium  nigricans,20292,Northern Hog Sucker,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,612057600000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Catostomidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E61000005994846A41EE54C095B811CD7EBC4140,188932,0101000020110F00004F78A8A2C4C661C1FE19F2CC31215041,188688,>1m <=5m,ATBI DATABASE,,1446925521000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252952,3928864,35.472613,-83.722739,Hazel Creek,Hazel Creek,1901.817383,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446925521000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive West,Valid,Hypentelium_nigricans,Hypentelium  nigricans,20292,Northern Hog Sucker,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,612057600000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Catostomidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E6100000F78F184C62EE54C0F3BD5E18ABBC4140,188927,0101000020110F0000E1B3B58FE0C661C19D1D62FE5F215041,188683,>1m <=5m,ATBI DATABASE,,1446925518000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252774,3929019,35.473965,-83.724745,Hazel Creek,Hazel Creek,1717.382202,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446925518000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Hypentelium_nigricans,Hypentelium  nigricans,20292,Northern Hog Sucker,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1063497600000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Catostomidae, ,~,day snorkel visual survey,No, ,cert,CFI Fish Surveys
0101000020E6100000A9CD237246EE54C0AE12720688BC4140,188931,0101000020110F00003B5F3CE8C8C661C187D08A6B3B215041,188687,>1m <=5m,ATBI DATABASE,,1446925521000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252925,3928896,35.472894,-83.723046,Hazel Creek,Hazel Creek,1850.35498,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446925521000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Hypentelium_nigricans,Hypentelium  nigricans,20292,Northern Hog Sucker,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,529718400000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Catostomidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E61000002E2C945998ED54C04446A2F87ABD4140,188934,0101000020110F00001096240C35C661C12F4AC8CA38225041,188690,>1m <=5m,ATBI DATABASE,,1446925522000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253912,3929692,35.480308,-83.71242,Hazel Creek,Hazel Creek,2017.213379,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446925522000,GRSM,UNR,,9,,,Hazel Creek Trail,Lakeview Drive West,Valid,Hypentelium_nigricans,Hypentelium  nigricans,20292,Northern Hog Sucker,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1063497600000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Catostomidae, ,~,day snorkel visual survey,No, ,cert,CFI Fish Surveys
0101000020E61000003F299AD41EED54C0544DAA6C0EBD4140,188946,0101000020110F00008D8047D7CDC561C11B1E8F95C7215041,188702,>1m <=5m,ATBI DATABASE,,1446925529000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,254575,3929306,35.476996,-83.705003,Hazel Creek,Hazel Creek,2101.476562,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446925529000,GRSM,UNR,,7,,,Hazel Creek Trail,Lakeview Drive West,Valid,Hypentelium_nigricans,Hypentelium  nigricans,20292,Northern Hog Sucker,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1087344000000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Catostomidae, ,~,various,No,day,cert,Northshore Road EIS
0101000020E61000006F0C48955DED54C09A0D6202DFBC4140,188943,0101000020110F00005E35042303C661C104A46A2296215041,188699,>1m <=5m,ATBI DATABASE,,1446925528000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,254223,3929155,35.475549,-83.708833,Hazel Creek,Hazel Creek,1958.431885,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446925528000,GRSM,UNR,,5,,,Hazel Creek Trail,Lakeview Drive West,Valid,Hypentelium_nigricans,Hypentelium  nigricans,20292,Northern Hog Sucker,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,498528000000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Catostomidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E61000008BD0C81A27E454C00D8420E415B84140,188966,0101000020110F0000EC278B1430BE61C154C010C1981C5041,188722,>1m <=5m,ATBI DATABASE,,1446925542000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267179,3924658,35.438161,-83.564883,Fontana Lake-Tuckasegee River,,1684.636597,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446925542000,GRSM,UNR,,5,,,Goldmine Loop Trail,Lakeview Drive East Parking #4,Valid,Hypentelium_nigricans,Hypentelium  nigricans,20292,Northern Hog Sucker,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-1019779200000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Catostomidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E61000006A399D5208E454C09442FD8764BB4140,188968,0101000020110F0000BF98E9EF15BE61C133E391720B205041,188724,>1m <=5m,ATBI DATABASE,,1446925543000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267424,3927520,35.463999,-83.563004,Forney Creek,,1699.026245,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446925543000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Hypentelium_nigricans,Hypentelium  nigricans,20292,Northern Hog Sucker,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1087430400000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Catostomidae, ,~,various,No,day,cert,Northshore Road EIS
0101000020E6100000E2605D7F2CE454C0DCA1A7298BBB4140,188967,0101000020110F0000732512A934BE61C16D951BBB33205041,188723,>1m <=5m,ATBI DATABASE,,1446925542000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267227,3927656,35.465178,-83.565212,Forney Creek,,1980.359009,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446925542000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Hypentelium_nigricans,Hypentelium  nigricans,20292,Northern Hog Sucker,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,612057600000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Catostomidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E6100000A78A905773E154C09B358FFB4AB84140,188976,0101000020110F0000F638EA90E4BB61C1A19F2419D01C5041,188732,>1m <=5m,ATBI DATABASE,,1446925547000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,271017,3924739,35.439781,-83.522661,Fontana Lake-Tuckasegee River,Tuckasegee River,1667.375366,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446925547000,GRSM,UNR,,5,,,Noland Creek Trail,Lakeview Drive East,Valid,Hypentelium_nigricans,Hypentelium  nigricans,20292,Northern Hog Sucker,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-931219200000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Catostomidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E61000000D438616D8E154C0C79B54F279B94140,188973,0101000020110F0000776B2F213ABC61C1C840F7EF0B1E5041,188729,>1m <=5m,ATBI DATABASE,,1446925545000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,270485,3925779,35.449027,-83.52881,Noland Creek,Noland Creek,1855.15918,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446925545000,GRSM,UNR,,6,,,Noland Creek Trail,Lakeview Drive East,Valid,Hypentelium_nigricans,Hypentelium  nigricans,20292,Northern Hog Sucker,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,1065052800000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Catostomidae, ,~,day snorkel visual survey,No, ,cert,CFI Fish Surveys
0101000020E610000021881737DAE154C03AA9880383B94140,188972,0101000020110F0000A8C1AFEF3BBC61C16624F563151E5041,188728,>1m <=5m,ATBI DATABASE,,1446925545000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,270474,3925810,35.449304,-83.52894,Noland Creek,Noland Creek,1836.906128,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446925545000,GRSM,UNR,,2,,,Noland Creek Trail,Lakeview Drive East,Valid,Hypentelium_nigricans,Hypentelium  nigricans,20292,Northern Hog Sucker,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,644112000000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Catostomidae, ,~,unspecified, ,day,cert,Historic Fishes
0101000020E61000008139181C0BDC54C04B4D12BD5FBA4140,188982,0101000020110F00008B93E8EF4CB761C1FCB5E384FB1E5041,188738,>1m <=5m,ATBI DATABASE,,1446925551000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,278732,3926350,35.45604,-83.438174,Deep Creek,,1799.486816,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446925551000,GRSM,UNR,,5,,,Noland Divide Trail,East Deep Creek Road,Valid,Hypentelium_nigricans,Hypentelium  nigricans,20292,Northern Hog Sucker,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,299635200000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Catostomidae, ,~,unspecified, ,year,cert,Historic Fishes
0101000020E61000005E7CE3010BDC54C01FB2D3DF70BA4140,188983,0101000020110F0000A6D7A6D94CB761C13041BF620D1F5041,188739,>1m <=5m,ATBI DATABASE,,1446925551000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,278734,3926408,35.456563,-83.438168,Deep Creek,,1806.475586,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446925551000,GRSM,UNR,,6,,,Noland Divide Trail,East Deep Creek Road,Valid,Hypentelium_nigricans,Hypentelium  nigricans,20292,Northern Hog Sucker,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,611971200000,Animalia, ,Chordata, ,Osteichthyes, , ,Deuterostomia, , ,Cypriniformes, , , , ,Catostomidae, ,~,unspecified, ,day,cert,Historic Fishes
